data,valores
2003-08-01,8700.0
2003-09-01,8900.0
2003-10-01,8900.0
2003-11-01,9700.0
2003-12-01,16600.0
2004-01-01,9000.0
2004-02-01,9090.0
2004-03-01,8630.0
2004-04-01,9140.0
2004-05-01,9080.0
2004-06-01,9490.0
2004-07-01,9490.0
2004-08-01,9780.0
2004-09-01,10160.0
2004-10-01,10070.0
2004-11-01,10140.0
2004-12-01,19930.0
2005-01-01,10490.0
2005-02-01,11170.0
2005-03-01,10570.0
2005-04-01,10620.0
2005-05-01,10530.0
2005-06-01,11740.0
2005-07-01,11580.0
2005-08-01,11560.0
2005-09-01,11460.0
2005-10-01,11830.0
2005-11-01,11830.0
2005-12-01,22400.0
2006-01-01,13300.0
2006-02-01,11760.0
2006-03-01,11800.0
2006-04-01,11890.0
2006-05-01,12890.0
2006-06-01,12820.0
2006-07-01,13160.0
2006-08-01,13120.0
2006-09-01,18990.0
2006-10-01,13360.0
2006-11-01,13300.0
2006-12-01,19446.0
2007-01-01,13173.2
2007-02-01,13232.3
2007-03-01,15225.4
2007-04-01,13486.7
2007-05-01,14187.3
2007-06-01,14315.3
2007-07-01,14407.9
2007-08-01,14270.4
2007-09-01,20550.4
2007-10-01,14406.3
2007-11-01,14324.1
2007-12-01,23714.2
2008-01-01,16295.8
2008-02-01,13954.8
2008-03-01,14769.9
2008-04-01,15428.8
2008-05-01,15403.5
2008-06-01,15806.1
2008-07-01,15407.5
2008-08-01,17253.5
2008-09-01,20846.5
2008-10-01,15384.9
2008-11-01,17783.9
2008-12-01,21226.7
2009-01-01,21495.1
2009-02-01,15929.0
2009-03-01,17550.899999999998
2009-04-01,17484.899999999998
2009-05-01,17432.1
2009-06-01,17795.6
2009-07-01,17783.7
2009-08-01,19895.2
2009-09-01,23319.6
2009-10-01,17639.1
2009-11-01,19972.6
2009-12-01,23835.0
2010-01-01,17784.4
2010-02-01,18988.4
2010-03-01,22774.4
2010-04-01,19341.9
2010-05-01,19150.1
2010-06-01,19358.6
2010-07-01,19396.5
2010-08-01,22746.2
2010-09-01,26560.8
2010-10-01,19736.2
2010-11-01,22478.6
2010-12-01,27048.9
2011-01-01,20246.5
2011-02-01,21093.2
2011-03-01,21308.1
2011-04-01,24275.6
2011-05-01,21506.8
2011-06-01,21515.9
2011-07-01,21932.6
2011-08-01,24376.9
2011-09-01,29237.1
2011-10-01,21849.8
2011-11-01,24902.0
2011-12-01,29813.3
2012-01-01,22691.3
2012-02-01,23945.8
2012-03-01,24139.5
2012-04-01,27081.2
2012-05-01,24457.3
2012-06-01,24389.2
