data,forecast_ensemble,forecast_gru,forecast_lstm,forecast_gbrt,ic68_inf,ic68_sup,ic95_inf,ic95_sup
2024-09-01,76558.6827181093,77016.58850721622,77339.72628856236,75319.73335854932,74525.42861860854,78591.93681761005,72573.5046830878,80543.86075313078
2024-10-01,74490.65861675677,74257.37163335374,74471.57024820922,74743.03396870737,71692.8756854615,77288.44154805204,69007.00407141804,79974.31316209551
2024-11-01,74656.09788635136,75615.9840126855,75779.05953586845,72573.25011050016,71221.91738357919,78090.27838912353,67925.10410091792,81387.0916717848
2024-12-01,101487.25275467282,106663.54472046044,106850.14217465966,90948.07136889834,96096.63302652804,106877.8724828176,90921.63808750904,112052.8674218366
2025-01-01,75538.74509028085,75875.26137935252,76015.42613548946,74725.54775600058,71052.82046378385,80024.66971677785,66746.33282234674,84331.15735821496
2025-02-01,79554.335092226,79556.93129370433,79681.91351755943,79424.16046541424,74379.021389108,84729.64879534401,69410.72023411473,89697.94995033728
2025-03-01,79387.34714500587,80378.79566171665,80462.47000496651,77320.77576833444,73809.10305646207,84965.59123354967,68453.98873146003,90320.70555855171
2025-04-01,89775.51886621963,89572.73582985163,89665.59834849375,90088.22242031354,83031.78967933379,96519.24805310548,76557.80965992338,102993.22807251588
2025-05-01,120727.20843116347,122167.5937883931,122284.37326124126,117729.65824385606,111108.34812366177,130346.06873866517,101874.24222846012,139580.17463386682
2025-06-01,106711.55742882653,104996.71309917101,105104.9708508484,110032.9883364602,97749.48059911751,115673.63425853556,89145.88684259684,124277.22801505623
2025-07-01,82704.44684607787,81432.31952008496,81499.28316165776,85181.7378564909,75419.56674657448,89989.32694558127,68426.08185105123,96982.81184110451
2025-08-01,81328.36022161537,80613.12374834559,80662.59744506136,82709.35947143912,73846.15108122675,88810.56936200398,66663.23030645368,95993.49013677705
2025-09-01,84541.9096365797,85003.8757914724,84935.65488767588,83686.19823059083,76446.46077084102,92637.35850231838,68674.82985973188,100408.98941342751
2025-10-01,82320.2344787708,82703.61454858218,82687.34609920715,81569.74278852307,74139.96103913873,90500.50791840287,66286.89853709194,98353.57042044966
2025-11-01,82809.92158759975,82889.11138762315,82878.49037670119,82662.16299847489,74292.16534905993,91327.67782613957,66115.11936006171,99504.72381513778
2025-12-01,113254.68029411249,112684.3518676922,112670.03948253726,114409.64953210803,101223.35818563098,125286.002402594,89673.28896148872,136836.07162673626
2026-01-01,83932.88110237807,83874.96648708804,83864.62427190998,84059.0525481362,74742.07093340295,93123.69127135321,65918.89317118684,101946.86903356931
2026-02-01,89165.4532784432,88333.79474242475,88327.10052560958,90835.46456729522,79118.59957049986,99212.30698638652,69473.62001087426,108857.28654601212
2026-03-01,88334.16566616099,88146.94014149749,88150.8841814704,88704.67267551504,78108.23800454916,98560.09332777282,68291.3474494018,108376.98388292018
2026-04-01,99936.16657654381,99678.55306150843,99688.13619521436,100441.8104729086,88066.59923894437,111805.73391414326,76671.8145948489,123200.51855823872
2026-05-01,134161.21479565627,134042.8642707932,134059.25965157154,134381.52046460408,117833.1831384335,150489.24645287907,102158.27274749962,166164.1568438129
2026-06-01,118914.76503911347,118481.64689149248,118499.34399426497,119763.30423158297,104101.7205622545,133727.80951597245,89881.1978644699,147948.33221375704
2026-07-01,91740.73928866728,91827.2066085179,91840.52979498854,91554.4814624954,80055.88347128677,103425.59510604778,68838.42188660149,114643.05669073306
2026-08-01,90608.09165737021,90300.19641572081,90314.27587143974,91209.80268495012,78819.28598577125,102396.89732896918,67502.03254103624,113714.15077370418
2026-09-01,93865.39937298703,93261.03804504822,93554.7635683224,94780.39650559046,81400.9602460023,106329.83849997175,69435.09868409696,118295.7000618771
2026-10-01,91464.99399579126,90808.69183215834,91095.14355806721,92491.14659714822,79078.77402509017,103851.21396649235,67188.00285321711,115741.9851383654
2026-11-01,91589.30825609085,91348.61102203043,91636.27539327995,91783.03835296216,78949.98371675031,104228.63279543137,66816.2321589834,116362.38435319831
2026-12-01,125073.52037986706,124927.55774316908,125324.65127904761,124968.35211738451,107496.6482262232,142650.3925335109,90622.85095872513,159524.189801009
2027-01-01,92904.30915102306,92580.88933704652,92876.13314789007,93255.90496813263,79617.15230856331,106191.46599348281,66861.48173980195,118947.13656224417
2027-02-01,98659.88361121854,98353.98113628537,98664.37225252118,98961.29744484906,84308.34609988437,113011.4211225527,70530.87008900358,126788.8971334335
2027-03-01,97755.75692933697,97437.68129809861,97742.57674218576,98087.01274772653,83300.68044055699,112210.83341811695,69423.80701132819,126087.70684734576
2027-04-01,110777.11734674576,110235.65812199519,110578.64906517719,111517.04485306487,94134.47603595463,127419.75865753688,78157.54037759516,143396.69431589634
2027-05-01,148460.22517668203,147989.90258509695,148446.47987111713,148944.29307383203,125810.42946935652,171110.02088400754,104066.62559032402,192853.82476304003
2027-06-01,131555.2738519488,131170.3046218375,131575.46243873288,131920.05449527598,111182.74573694036,151927.8019669572,91625.11874653227,171485.4289573653
2027-07-01,101490.41887009481,101194.53989250874,101507.35908554349,101769.35763223219,85544.25321429147,117436.58452589814,70235.93418472027,132744.90355546935
2027-08-01,100231.31458334059,99944.68174040914,100253.38554258631,100495.8764670263,84259.58748150618,116203.04168517498,68926.72946374517,131535.899702936
2027-09-01,104089.75760807323,104288.26116939145,104556.40722518951,103424.6044296387,87274.40171229212,120905.11350385433,71131.66005234225,137047.8551638042
2027-10-01,101450.98186371876,101619.80851344993,101882.4335186917,100850.70355901464,84841.91409145229,118060.04963598523,68897.2090300765,134004.754697361
2027-11-01,101639.64218809483,101755.76786944673,102020.69405993132,101142.46463490643,84782.16287776135,118497.1214984283,68598.9827398412,134680.30163634845
2027-12-01,138781.95955666862,138953.72666558222,139318.71327652904,138073.43872789462,115470.99654398845,162092.9225693488,93092.4720518155,184471.44706152173
2028-01-01,102995.57339359836,103212.8490187007,103485.80985275003,102288.06130934437,85480.67217055417,120510.47461664255,68666.36699643175,137324.77979076497
2028-02-01,109301.46067856524,109606.7266372777,109897.38094125816,108400.27445715983,90488.90426284102,128114.01709428945,72428.85010374579,146174.0712533847
2028-03-01,108374.45277816919,108603.13550900803,108890.69574000295,107629.5270854966,89500.69619132906,127248.20936500933,71381.88986796253,145367.01568837583
2028-04-01,122810.54846657433,123069.99233238232,123395.54972528073,121966.10334205996,101175.43319403511,144445.66373911357,80405.72253239747,165215.37440075117
2028-05-01,164547.28203693786,164935.14555499746,165371.44014051688,163335.26041529927,135231.99341927114,193862.5706546046,107089.31634631105,222005.24772756465
2028-06-01,145974.85338921487,146154.59698444986,146541.069102651,145228.8940805438,119681.00418601108,172268.70259241865,94438.90895093544,197510.7978274943
2028-07-01,112515.20006529761,112752.60155155769,113051.59200172435,111741.40664261083,92029.19243993917,133001.20769065607,72362.62511959508,152667.77501100017
2028-08-01,111119.33049725427,111353.60261205406,111649.26170739692,110355.12717231183,90673.37368575949,131565.28730874904,71045.25514672449,151193.40584778404
2028-09-01,115384.59475542388,114792.79875841635,115571.07358577401,115789.91192208129,93933.81551217756,136835.3739986702,73341.0674386611,157428.12207218667
2028-10-01,112348.92106812882,111882.92602093444,112641.25948557674,112522.57769787528,91250.4437858282,133447.39835042943,70995.90559481963,153701.93654143802
2028-11-01,112679.43176047686,112092.17046455259,112850.96802005278,113095.15679682525,91308.32860725778,134050.53491369594,70792.06958016746,154566.79394078624
2028-12-01,153784.49234490105,153056.31084732505,154090.42063778656,154206.74554959155,124332.72104062335,183236.26364917873,96059.02058851675,211509.96410128535
2029-01-01,114183.49563568551,113589.86113775014,114356.71462239849,114603.91114690786,92106.57616062088,136260.41511075015,70912.73346455884,157454.25780681218
2029-02-01,121203.34419659052,120544.62696565928,121358.2205246792,121707.18509943305,97549.12117943514,144857.5672137459,74841.06708296596,167565.62131021507
