data,real,pred_GRU,pred_LSTM,pred_Ensemble
2018-05-01,46181.2,48251.787809907575,46362.89219296267,47616.179409454315
2018-06-01,44862.7,48845.77558222729,47630.897453841106,47445.425513072914
2018-07-01,45276.2,48119.263282355605,46298.27680265971,46655.19604993172
2018-08-01,49348.2,48066.18671863504,46738.16479856236,47695.14442399634
2018-09-01,61736.9,49366.42696175391,50887.46190071397,53290.39868090306
2018-10-01,45259.6,52767.56881166013,63450.93809846704,54203.38107531289
2018-11-01,49978.0,49181.98737059443,46533.97544246424,49081.72860695963
2018-12-01,62392.3,52077.16313732088,51394.067210615816,59879.430237722896
2019-01-01,46359.3,55493.51712649654,63912.207942276225,47707.02598241031
2019-02-01,46746.8,50743.46466843328,47627.65860795608,46573.6523998531
2019-03-01,54110.5,51588.72569098768,48113.19256503906,52177.66747907201
2019-04-01,47678.9,53542.30836674096,55593.29099683251,45829.14113695064
2019-05-01,47625.2,51309.05934270626,49644.34657886083,49188.95800316606
2019-06-01,47743.8,51265.14839746612,49659.16929716685,49942.781551596185
2019-07-01,48346.4,51134.86985806739,49814.27513056876,49432.65261091467
2019-08-01,53610.4,51361.9120801072,50450.19467855201,49735.35037924661
2019-09-01,66122.6,54832.47593689709,55810.67342131584,58260.39579455243
2019-10-01,48581.8,63058.11135062026,68439.94486394219,57793.69980707093
2019-11-01,54400.6,52920.16084011963,49973.04944529501,53492.83747156346
2019-12-01,66501.2,56778.24019050302,55963.51201677739,62637.06051188902
2020-01-01,48517.7,59768.95142594536,67958.7289889423,53673.16061120318
2020-02-01,50935.6,53678.61034473706,49891.190660180524,51196.940666981754
2020-03-01,50385.9,55447.95859134585,52517.11200684685,54190.77064512386
2020-04-01,56193.8,54529.14378618561,52004.4652819119,55341.81240887951
2020-05-01,75020.8,56267.74956294366,57883.3444385703,53518.2413950018
2020-06-01,76928.5,58111.149345839585,76187.27750182006,65488.02672889293
2020-07-01,50861.3,65340.011208378724,77661.99179325356,73008.38986381734
2020-08-01,50123.5,58671.00645648177,52076.210902141815,55960.24336091253
2020-09-01,51062.5,57940.64551384509,51749.61545319816,56011.638272544784
2020-10-01,51129.4,56575.61899726487,52906.5191180951,54007.11034967963
2020-11-01,51865.9,55034.995661922396,52447.41424461727,55055.00879237995
2020-12-01,52449.1,54884.11272928362,53216.2023509405,55699.49547895868
2021-01-01,51554.8,55114.327260021826,53803.57197489499,54647.26023207589
2021-02-01,53558.7,54792.88862724249,52895.01296551559,53052.97863315159
2021-03-01,54741.3,55850.58319777308,54955.86683544332,55035.7724143472
2021-04-01,53975.6,56742.43413721101,56151.031921663176,57378.618456861455
2021-05-01,61473.8,56612.56459375235,55525.92687136076,56500.351843506985
2021-06-01,89235.1,59428.307269786135,63202.23531593962,60413.01916060426
2021-07-01,74592.1,62523.977734778404,91547.67746220865,71880.08439740517
2021-08-01,53777.7,68342.32085909892,76523.36917394916,73489.6990159878
2021-09-01,55006.7,62662.13156293516,55244.022725748975,58857.97283847626
2021-10-01,54481.3,62717.797229497904,56538.13017409663,59141.89696864771
2021-11-01,53909.9,58589.1753493204,55926.49011121059,56821.70963773373
2021-12-01,55550.4,57203.43130927349,55375.276966086116,56119.63966003986
2022-01-01,55692.6,57635.922152158426,57068.2075430026,56967.07343753663
2022-02-01,59061.5,57643.13045526468,57219.66732694554,57432.29049875936
2022-03-01,61552.1,59786.40585050211,60658.766083867275,59686.717709326695
2022-04-01,67072.1,61873.529464741834,63186.87484171156,61896.85743305778
2022-05-01,88995.5,65922.4785657507,68779.76895730024,69942.20330588936
2022-06-01,83429.0,76930.59822682437,90634.96666478764,87088.18492990315
2022-07-01,61424.5,80099.27409648246,84875.4737409129,82837.44664310518
2022-08-01,71733.8,69048.60075386165,62863.24999092938,63990.913229851925
2022-09-01,61764.7,74143.99003443694,73469.86955650883,70438.6073322352
2022-10-01,61699.1,67267.6832324713,63443.951429617424,64616.36559502295
2022-11-01,61685.7,65277.38609563006,63645.909404937105,64702.78580487486
2022-12-01,62865.9,64383.635448456735,63714.44937800818,63935.50906893509
2023-01-01,62712.3,64656.97743102449,64948.037885675265,64839.50377361977
2023-02-01,65127.6,64479.81825448428,64800.57478545211,64594.91817236331
2023-03-01,65797.1,66082.43504242851,67252.70462721167,65772.65560216004
2023-04-01,66539.5,66885.52440921876,67909.878469619,68036.59212130946
2023-05-01,82421.9,66729.48363859192,68286.87904753062,69623.7794975172
2023-06-01,97632.6,75306.80331027138,84539.79949532822,73904.57465397312
2023-07-01,90507.7,84723.61304896799,100078.90805850952,86581.41625921411
2023-08-01,67196.8,85841.87947335913,92775.20520014822,91758.57777185063
2023-09-01,69552.8,73182.06369058866,68926.98242384633,71492.31783713121
2023-10-01,67015.1,74314.5575964226,71365.22444330943,72580.56385538093
2023-11-01,68196.7,71119.55187482286,68723.62288297398,70437.51808483803
2023-12-01,96173.3,71113.23196571856,69943.41427929081,70313.18318812767
2024-01-01,68430.3,88414.57048027168,98504.15160547761,89655.41017538134
2024-02-01,71736.7,70706.16547540616,70120.23043486963,69676.73163665438
2024-03-01,72460.0,74206.19681019818,73518.39745635567,72279.04753228097
2024-04-01,80743.1,74734.59439704177,74266.85010703916,74250.59045870625
2024-05-01,110107.1,80527.5136901117,82656.88140362862,85220.41888981659
2024-06-01,94632.5,95227.09167403776,110258.13725295803,101998.74623009661
2024-07-01,73375.9,93211.90714608425,94900.20677454652,93842.09279000174
2024-08-01,72622.9,81814.81485363314,74918.90615780317,75511.63174838659
